pattern	template
How to enter Signature Date in Contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Document Details link.|3. Click in the Signed Date field. |4. Select the appropriate date and click OK

How to Dispatch the contract	The Dispatch process is to notify by e-mail to the users of the Contract released the lasted version.|Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Modify Attachments/Related Documents link.|3. Click the Upload another Document Attachment File button and Upload the signed contract as an attachment.|4. Click the Allow Email/Dispatch option and click Dispatch.|5. Select all the attachments which need to be dispatched and click OK.

How to execute the process for contract	The Dispatch process is to notify by e-mail to the users of the Contract released the lasted version.|Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Modify Attachments/Related Documents link.|3. Click the Upload another Document Attachment File button and Upload the signed contract as an attachment.|4. Click the Allow Email/Dispatch option and click Dispatch.|5. Select all the attachments which need to be dispatched and click OK.|6. Click the Execute Contract button.

How to approve a contract	3 ways to approve a contract:|1. eMail|2. Documents Pending Action|3. Worklist

How to approve a contract through eMail	The Approver can review the contract by log in into the system through the eMail notification received. Once user clicks the link provided in the eMail, appropriate actions can be taken on the Document Management page.

How to approve a contract through Documents Pending section	1. Click Content link in your Peoplesoft homepage, Documents Pending Action, and save it.|2. On homepage, you can now see all the pending contracts.|3. Click the required contract and proceed.

How to approve a contract through Worklist	1. Click the Worklist link in the Peoplesoft homepage.|2. The contract transaction always will be identified as “Document”. Click the Document link|3. The approver will review the contract and details. Click the View Document button.|4. To review attachments and contract history, click the Document Version History link.|5. Click Approve/Deny

How to deny the contract	3 ways to deny a contract:|1. eMail|2. Documents Pending Action|3. Worklist|When denying the approval of a contract, it is necessary to enter comments in the Approver Comments section providing details of the reasons the contract approval is being denied.

What happens once the contract is Approved	When the approval process ends, the system:|1. Change the contract status to Approved or Denied.|2. Inserts a process detail history row indicating if the contract was approved or denied.|3. Send a notification to the contract administrator indicating the contract has been approved or denied.

Role required for editing the journal	LI_GL_JRNLPOST_GLB Please raise an Online Security Request form for this role by using link https://psaccess.laureate.net/

Role required for Multicurrency Process page	LI_GL_PROCESSES_GLB Please raise an Online Security Request form for this role by using link https://psaccess.laureate.net/

Role required for Update Profile page in Travel and Expense	LI_EX_PROFILE_ADMIN_GLB Please raise an Online Security Request form for this role by using link https://psaccess.laureate.net/

Error Message When Creating a Receipt	System is not able to save a receipt from a PO and displays an error message when a buyer mentioned on PO has left the department. Security team deactivates the buyer in system and hence no receipts can be generated for PO's created any buyer who has left the department.|To resolve this issue please raise an incident.

Chart fields not appearing on Receipt copied from a Purchase order	System is not able to save a receipt from a PO and displays an error message when a buyer mentioned on PO has left the department. Security team deactivates the buyer in system and hence no receipts can be generated for PO's created any buyer who has left the department.|To resolve this issue please raise an incident.

System displays an error of Missing GL BU while saving the receipt	System is not able to save a receipt from a PO and displays an error message when a buyer mentioned on PO has left the department. Security team deactivates the buyer in system and hence no receipts can be generated for PO's created any buyer who has left the department.|To resolve this issue please raise an incident.

My requisition Approver not able to view requisition attachment	Follow the steps below to view the Header Attachment: |1. Navigate to eProcurement > Manage Requisition |2. Enter the Business Unit and Requisition ID and click on Search|3. Click on the Requisition ID|4. Click on the Header Comments Attachment and the Line Comments Attachment Icon to view attachments at the Header and Line respectively

Why is Approver is not able to view attachments of a Requisition from worklist	Follow the steps below to view the Header Attachment:| 1. Navigate to eProcurement > Manage Requisition |2. Enter the Business Unit and Requisition ID and click on Search|3. Click on the Requisition ID|4. Click on the Header Comments Attachment and the Line Comments Attachment Icon to view attachments at the Header and Line respectively

Accounting date error message is appearing when saving a PO	System does not allows user to save any changes made to a PO which has it's Accounting Date in a Closed Period. Please follow the steps below to change the Accounting date of a PO.|1. Open the PO|2. Click on Header Details |3. Make the Accounting Date as the current date and then click on OK|4. Try to save the PO.

Not able to save PO as Accounting date is not open	System does not allows user to save any changes made to a PO which has it's Accounting Date in a Closed Period. Please follow the steps below to change the Accounting date of a PO.|1. Open the PO|2. Click on Header Details |3. Make the Accounting Date as the current date and then click on OK|4. Try to save the PO.

Contract not available to be copied in PO	There is a maximum amount on the contract header. A Purchase Order cannot be create for more than the max amount of contract. If a PO of maximum amount has already been created from contract, then contract would not be available to be copied into another PO. | In this case create a new version of contract and can increase its max amount.

Printable version of Purchase Order not showing ship to details	With a printable version of the Purchase Order, whenever a PO has multiple lines, the Ship to field in front of supplier field will show 'See Detail Below' and ship to address will be displayed at lines information. When there is only one PO line, the ship to field will show ship to address while creating printable version.

why ship to field showing see detail below on printable version of PO	With a printable version of the Purchase Order, whenever a PO has multiple lines, the Ship to field in front of supplier field will show 'See Detail Below' and ship to address will be displayed at lines information. When there is only one PO line, the ship to field will show ship to address while creating printable version.

How can I change supplier ID on PO	The Supplier ID’s can only be changed while the PO is in ‘Open’ status. Once the PO has been submitted for approval the supplier ID can’t be changed. To change the supplier ID, the existing PO with incorrect information will need to be canceled and a new one created with correct supplier ID.

Not able to Change project ID on a PO	The project ID can be changed if no receipt or voucher have been created for the Purchase Order. If either a receipt or a voucher have been created from the PO the project ID on a PO cannot be changed.

Screen goes blank and everything is lost while entering a PO	This is a temporary issue. Please clear browser cache once and try entering the information again. Follow below steps:-|1. Log out from the application |2. Clear browser cache |3. Close and re-open the browser |4. Log back in to the system and try again.

Screen goes blank and everything is lost while entering a voucher	This is a temporary issue. Please clear browser cache once and try entering the information again. Follow below steps:-|1. Log out from the application |2. Clear browser cache |3. Close and re-open the browser |4. Log back in to the system and try again.

Time out issue faced while entering a PO	This is a temporary issue. Please clear browser cache once and try entering the information again. Follow below steps:-|1. Log out from the application |2. Clear browser cache |3. Close and re-open the browser |4. Log back in to the system and try again.

System is taking long time The circle just spins	This is a temporary issue. Please clear browser cache once and try entering the information again. Follow below steps:-|1. Log out from the application |2. Clear browser cache |3. Close and re-open the browser |4. Log back in to the system and try again.

Facing issue in Changing Supplier ID on Contract	The Supplier ID on a contract can be changed before its approval. If the contract has been approved, the supplier ID cannot change on the contract. If the entered Supplier ID is wrong on a contract. The contract will need to be cancelled along with the Purchase Order associated with this contract. Then create a new contract with correct supplier ID.

I want to clear my worklist	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Purchase Order is denied Can it be approved again	The Purchase Order can be submitted for approved again if it has been denied. To re-triggering the workflow, make a change the PO quantity/amount of any line and save. Then re-edit the PO quantity /amount to the previous value and save the PO once again .This will re-trigger the routing workflow for the Purchase Order.

PO stuck in pending cancellation status	Cancelling a PO is a two step process.|1. Cancelling the PO|2. Dispatching a cancelled PO so that status changes to Cancelled status

Requisition timing out	Click on “Save for later”  button after adding each line. This will allow you to save multiple lines without getting timed out.

System timing out while entering a large requisition	Click on “Save for later”  button after adding each line. This will allow you to save multiple lines without getting timed out.

Change description on line item of Purchase Order	The PO line item description can only be changed for PO's which have never been Dispatched. Once the PO is dispatched system never allows changing the description of PO inspire of creating change order.

Unable to view pending req in manage req tab	Kindly enter the Business Unit first and click on search, this will populate search results which include requisition Id you are searching for.

Where to see the cancelled PO	To view these PO's navigate to Main Menu > Purchasing > Purchase Orders > Review PO Information

How so submit a contract for approval after its denied	To submit the contract for approval again, Please change the contract status to open and then Submit for approval again

PO amount exceeds contract amount error	While creating a PO from contract, kindly check if the  total contract amount is already used or not. If this is not the case then if contracts partial amount is used, then make the merchandise amount on PO equal to contracts released amount or you can also increase the maximum amount of contract by creating new version

Can I see who has denied the PO	Click on the view approval link and then click the comment history and click on the links present there – you will be directed to the page stating who denied it .

Page Data is inconsistent with database	If you are getting this error message then try clearing out your browser cache first.  This may be an issue with your temporary internet files.  If the issue persists please submit a ticket to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Can I budget check a denied requisition	Budget check does not run when a requisition is in Open or denied status . Please submit the requisition for approval again and then budget check .

I dispatched the PO but didn t get attachment PDF	Redispatch the PO using following navigation: | Main Menu > Purchasing > Purchase Orders > Dispatch Pos|Select Business Unit and select the Dispatched Check Box . After that select the PO ID in PO ID prompt.|After selecting the PO ID click on the Print Copy checkbox and run the process by selecting appropriate job according to your Business Unit|After this process goes to success you can get the file generated from Report Manager.

Performance Issue system working very slow	This is a temporary issue. Please clear browser cache once and try entering the information again. Follow below steps:-|1. Log out from the application |2. Clear browser cache |3. Close and re-open the browser |4. Log back in to the system and try again.

How to reopen a Purchase Order PO	Navigate to Main Menu > Purchasing > Purchase Orders > Reconcile Pos > Reopen PO. Enter Business Unit, PO ID and and run the process.

Role for ePro Inquiry	Please create an Access Request using below link |https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx|  Role Name: LI_PV_REQINQ_GLB (eProcurement Inquiry -  This role allows for access to ePro, requisitions, payments and receipts inquiry)

Applicability of Expense Report Guidelines	These Guidelines apply to every officer, director, full- and part-time employee, faculty member, contractor, and student worker of Laureate. They also apply to all agents, representatives, consultants, distributors, dealers, and other third parties doing business on behalf of Laureate or its affiliates.

Have a question about the guidelines	Questions about these Guidelines should be addressed to the relevant Local Compliance Officer of through the Laureate Ethics Helpline.

What are the guidelines for expense reimbursement	These Guidelines address the provision and receipt of common courtesies, meals, gifts, entertainment, travel and travel-related expenses, and expenses associated with events such as conferences, seminars, college fairs, and training (collectively, “business courtesies”). We must never offer or receive courtesies under circumstances where they could affect, or appear to affect, decision making. Business courtesies given to or received from suppliers, students, and others outside Laureate must be related to a legitimate purpose and given or received without expectation of any favorable decision or unfair advantage.

Which business courtesies are allowed	Consistent with the Laureate Code of Conduct and Ethics, Laureate personnel may provide or receive business courtesies as long as they are:|• related to a legitimate purpose, such as the promotion, demonstration or explanation of products and services|• provided without expectation of any favorable decision, official action or unfair advantage|• reasonable, infrequent, and modest in amount|• not paid in cash or cash equivalents|• appropriate in character (e.g., no “adult” entertainment) and consistent with local business customs and practices|• documented with receipts and properly accounted for in our books and records|• authorized as required by relevant policies and procedures and|• consistent with applicable laws|Note on business courtesies for government officials:|Although these Guidelines apply to the provision of business courtesies to anyone outside Laureate, Laureate personnel must exercise particular caution in the payment, reimbursement, or provision of business courtesies to government officials, as they are often subject to more restrictive legal requirements. Any such expenses paid directly or reimbursed must be genuine, reasonable, directly related to a legitimate business activity of Laureate, and allowed by U.S. and local law. Government officials in many countries are not allowed to accept any gifts or other business courtesies, and these should not be provided unless it has been affirmatively determined that it will not violate any law.

Documentation and Approval Guidelines	All business courtesy expenses must be properly documented to reflect |(a) the purpose of the gift or other courtesy|(b) the individual receiving it|(c) the recipient's organization and position|(d) a description of the business courtesy|(e) the identity of others attending (if a meal or other event) and |(f) the amount. All such expenses must be approved by the manager of the person providing the courtesy. If multiple Laureate personnel attend an event, the most senior person should pay, and approval should come from that person’s manager.

Are there any special Approval Requirements for Gifts and Promotional Items	Laureate personnel may provide promotional items bearing a Laureate or institutional logo, or other modest gifts, worth up to US$50 to an individual once in a calendar year without prior approval, so long as such items are provided consistent with the Basic Guidance set out above. The payment, reimbursement, or provision of all other gifts and promotional items requires the advance approval of the relevant Local Compliance Officer. |Laureate personnel may accept gifts worth up to US$50 (total, from all sources) in a calendar year, so long as such items are provided consistent with the Basic Guidance set out above. The acceptance of all other gifts and promotional items from outside parties requires the approval of the relevant Local Compliance Officer. If there are applicable local Guidelines that set out different value amounts, personnel should follow those.

Are there any special Approval Requirements for Meals and Entertainment	Laureate personnel may provide modest meals and entertainment, such as lunches, dinners, or tickets to sporting events, not exceeding a total value of US$75 per person, as long as meals and entertainment to any one individual does not exceed US$300 in a calendar year, and the provision of the meals and entertainment is consistent with the Basic Guidance set out above. The payment, reimbursement, or provision of all other meals and entertainment requires the advance approval of the relevant Local Compliance Officer.|Laureate personnel may accept modest meals and entertainment, such as lunches, dinners, or tickets to sporting events, not exceeding at total value of US $75 per event, and not exceeding US$300 (total, from all sources) in a calendar year, and the acceptance of the meals and entertainment is consistent with the Basic Guidance set out above. The acceptance of all other meals and entertainment from outside parties requires the approval of the relevant Local Compliance Officer. If there are applicable local Guidelines that set out different value amounts, personnel should follow those.

Are there any special Approval Requirements for Meals and Other Courtesies Related to Sponsored Events	Sponsored Events means Laureate-sponsored seminars, curriculum-development conferences or other organized meetings to further Laureate interests or the development educational opportunities in an institution, country or region. Such events may be held to promote Laureate’s goals, to further educational goals in a country or region and/ or to build goodwill for Laureate. The primary purpose of the Sponsored Event must be consistent with Laureate’s goals or the development of educational prospects, and not undertaken for entertainment purposes, to confer any personal benefit, or as a reward or inducement for doing business with Laureate or attending a Laureate institution. It is permissible if the purpose includes the highlighting of Laureate’s approach to education, though not to specifically induce participants to do business with Laureate in exchange for lavish or excessive gifts, meals, or entertainment.

Are there any special Approval Requirements for Travel and TravelorRelated Expenses	As part of a Sponsored Event or other meeting or demonstration of products and services, we may, under appropriate circumstances, provide airfare, other forms of transportation, or accommodations to outside parties. All such expenses require the advanced approval of the relevant Local Compliance Officer. All travel and travelrelated expenses must be provided consistent with the Basic Guidance set out above, as well as the following additional requirements.|• The travel must be for a legitimate purpose, such as meetings to tour a Laureate university or to observe or discuss Laureate programs;|• The expenses must be related entirely to the legitimate purpose (e.g., family members of the individual receiving legitimate travel reimbursement may not travel at Laureate expense) and must not include any lavish or excessive entertainment such as side-trips, unnecessary stopovers, or other activities unrelated to the legitimate purpose of the travel (unless paid for entirely by the individual in question);|• Travel expenses may only be reimbursed against appropriate receipts or equivalent documentation;|• Payments should be made directly to the hotel, airline, or service provider whenever possible. If an individual or government official personally pays expenses that Laureate agreed to cover, that person should fill out an expense report and supply it to his or her employer, after which Laureate may reimburse the employer.|Laureate Personnel may not accept travel and travel-related expenses from outside parties without approval from the relevant Local Compliance Officer.

I need to update the LDW Laureate Department Workflow	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

I void the voucher payment but Payment Status is Pending	The Payment Posting process is not run yet. When it will run as a part of batch, payment status will get updated.

Invalid Chartfield Combination error while creating a requisition	Please enter Account, Operating Unit, Department ID as those are mandatory fields.

Where I can check the status of my Security form	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

How to create a Receipt	Navigation: Main Menu > Purchasing > Receipts > Add/Update Receipts | 1. Select the required PO and click search |2. Select the checkbox for which PO you want to create the receipt and click on Ok button. |3. Click Save

Error Origin Missing on your Operator profile	Please raise an Online Security Request form using link | https://psaccess.laureate.net/ and mention in the comments section: |“Need voucher origin to be updated as ONL at Main Menu > Set up Financials/Supply Chain > Common Definitions > User Preferences > Define User Preferences >> Payables Online Vouchering Update Origin to ONL.”

I want to unstage my expense report	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

How to cancel the Receipt	Navigate to: |Main Menu > Purchasing > Receipts > Add/Update Receipts|Click on the X symbol and then click Yes.

Not able to open a voucher in PeopleSoft	This is because of the Voucher attachment size which is greater than 5MB. Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

How to cancel Purchase Order PO	On the Add/Update PO page, click red cross to cancel the PO. You can also cancel it through navigation Main Menu > Purchasing > Purchase Orders > Buyer's Workbench. Select the checkbox for required PO. If you want to make requisition available gaain, select Yes - Re-source all of the requisitions and proceed.

Navigation to Report Manager	Main Menu > Reporting Tools > Report Manager

Expense Report Close	Navigation:  |Travel and Expenses > Process Expenses > Close Expenses > Mark Expense Report for Close|For the expense report to be closed, report should be Posted and Approved for Payment.

How to Purge the PO lines which are in error	Navigation: |Main Menu > Purchasing > Purchase Orders > Stage/Source Requests > Sourcing Workbench|Select those lines which are in Error. Then click Purge button and Save it.

What is meaning of status See Lines on the requisition	See Lines means the lines of requisition are in various stages of the approval process and the lines have different statuses (i.e. pending, approved, etc.)

Attachment error on voucher	Please check the name of attachment file. It should be of standard size (around 20-25 letters)

How to apply credit voucher to regular voucher	1. Create the Credit and Regular voucher. Get it Approved and Posted. | 2. Make sure both the vouchers are selected in the pay cycle at the same time. |3. For this purpose, in Payment Selection Criteria > Preferences tab, make sure Process Credit Vouchers option is selected. |4. Also, payment details like Bank, Bank Details, Payment method etc. are same for both the vouchers.

When PO is dispatched to whom email is triggered	Email gets triggered to Buyer, Supplier (Vendor) or the email ID which is provided while dispatching the PO.

Vendor form and supporting document s were forwarded to our Accounts Payable When the vendor will be created	If the request is related to new vendor registration / setup in Peoplesoft system, then kindly send the details to AMEA.servicecenter@laureate.net

How to add comments in the receipt	Navigate to Main Menu > Purchasing > Receipts > Add/Update Receipts. Click Add Header Comments and write the comments in the box.

How to add attachments in the receipt	Navigate to Main Menu > Purchasing > Receipts > Add/Update Receipts. Click Add Header Comments and click Attach button.

Journal Approval role	Please create an Access Request using below link: | https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx  |Role Names: | Level 1: LI_GL_WF_APRV1_GLB | Level 2: LI_GL_WF_APRV2_GLB|Level 3: LI_GL_WF_APRV3_GLB

How to resubmit the denied voucher	Edit the voucher by making any changes and Save the voucher. Then click Submit for Approval on Voucher Attributes tab or Invoice Information tab.

Role to express add an asset	Please create an Access Request using below link |https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx |Role Name: LI_AM_ASTENTRY_GLB

PO is not visible while creating a Receipt	Select the correct date range

Access to override non qualified Pos for close	Please create an Access Request using below link |https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx| Select the checkbox Override Non-Qualified Pos for close in User Preferences

Basic role of a user	Basic roles of any user are expense creation roles.

How to Budget Check the PO	Main Menu > Purchasing > Purchase Orders > Buyer's Workbench Use any existing Workbench ID and search for the desired PO. Select the checkbox and click Budget check

How to change the useful life of an asset	1. For the assets which are already created, you can change the Useful Life by BOOK by following below navigation: |Navigation: Main Menu > Asset Management > Asset Transactions > Asset Book Information > Define Tax/Depr Criteria |2. For the assets which you will create in future, you can change the useful life at Asset Profile level |Navigation: Main Menu > Set Up Financials/Supply Chain > Product Related > Asset Management > Profiles > Asset Profiles

Can requester be tagged to 2 departments simultaneously	Requester's Default Department is only one which is specified at Requester Setup but you can change the Department ID while creating the requisition if you have the necessary access.

Vendor is not appearing in the lookup	Check the Vendor Status. One of the reasons can be it is Unapproved. But to make it available for selection, vendor should be Approved.

How to stop voucher from getting picked in the pay cycle	Select the checkbox Hold Payment on Payments tab of voucher and Save it.

By using my alias email ID I dispatched the PO but didn t get any email	PeopleSoft cannot resolve alias email IDs. So you need to use your normal original email ID for PO Dispatch.

Voucher shows Attachment as 1 but not able to see any attachment	In voucher, default attachment count is shown as 1. So if it shows Attachments as 1, it means there are no attachments and if it shows 2, there is 1 and likewise.

What is status of my invoice payment	Status of invoice payments can be received from regional AP team

When the status of closed voucher will change	Status will be updated once voucher posting batch process will run.

How can I retire an asset without entering the proceeds	Please select a different Retirement By option to avoid entering Proceeds like Scrap.

How to check Asset Status	You can check the status of an asset by using following navigation: |Main Menu > Asset Management > Search for an Asset. |Enter Business Unit and Asset ID and check the status.

How to make VAT amount 0 on the voucher level	1. Click on the VAT Summary link on the invoice information page of the voucher. The system has calculated VAT recovery amount. To make it 0 you have to make both the invoice line VAT applicability to Out of scope.|2. Click on link in Invoice Line VAT Information tab. Click on expand all sections ,then in VAT Details tab select Applicability as Outside of Scope of VAT. Click on Adjust Affected Vat Defaults Button in Adjust/Reset Vat defaults. Click on Go back to vat summary.|3. After that repeat the same process for other invoice line as well. After following both the steps VAT becomes 0.

Why am I getting a Match Exception notification for a voucher	You will get these notifications if you have created this voucher or you are Buyer of the PO from which voucher is created.

Error which comes when we open voucher regarding internal loop	It is only a warning message and it can be ignored. Click OK and proceed.

Why remittance files are not being received	User will not get the remittance file emails if AP_EMAIL_ADV application engine will be in NO SUCCESS. Please raise a ticket to delete all such Process Instances.

I am not able to dispatch my Purchase Order PO	PO should be Approved. Also, please check Budget Status and Document Tolerance status. Both should be valid to make PO eligible for dispatch.

Why voucher not getting picked for Budget check	Check the accounting date of the voucher. It should be withing open period.

Why I am not able to cancel a requisition	If a PO or PO RECEIPT or PO RECEIPT VOUCHER is created for the requisition a requisition cannot be cancelled.

Interface files are rejected	Interface file contains duplicate transaction line numbers. Hence it is rejected.

Why voucher is not available in bank reconciliation file	If journals are not created for the voucher they will not come in bank reconciliation report.

In the vendor liability report why prepaid voucher not appearing	It appears only if it has been applied to any regular voucher.

Can we create a voucher with PO portion and non PO portion without exception	No. We cannot create such voucher.

Unable to generate PO	1. Please check the Budget status of requisition. It should be Valid. |2. Also check if PR is already linked to any PO which is not cancelled yet or in process. In such cases requistion will not be available. |3. Also check Inventory Source Flag on requsition line level. So should be unchecked to make requisition available for expedite.|Else, kindly contact amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Why PO is not available after closing a voucher	At the time fo closing the voucher, system asks you if you want to unmatch the associated PO if any. Please select Yes so that PO will be available again.

How to check which requisitions and Pos are associated with my Contract	Navigation: Main Menu > Procurement Contracts > Review Contract Information > Document Status

How to check which requisitions are associated my PO	Navigation: Main Menu > Purchasing > Purchase Orders > Review PO Information > Document Status

How to check which Pos are associated with my requisition	Navigation: Main Menu > Purchasing > Requisitions > Review Requisition Information > Document Status

How to check which Pos are associated with my Receipts	Navigation: Main Menu > Purchasing > Receipts > Review Receipt Information > Document Status

How to check which documents are associated with my vouchers	Navigation: Main Menu > Accounts Payable > Review Accounts Payable Info > Vouchers > Document Status

How to create a voucher from Receipt	Navigation: | Main Menu > Accounts Payable > Vouchers > Add/Update > Regular Entry | 1. Select PO Receipt in Copy From and search the required Receipt. |2. Select the checkbox and click Copy/Back|3. Save the voucher

How to use a new vendor location for an old date	There are 2 ways: |1. Update the vendor bank in Location with the latest effective date amongst already present dates|2. Add a new line with an effective date greater than latest effective date amongst already present dates with the required vendor bank details. After adding this line this will become the latest effective dated location details.

Financial Gateway access for Australia AUS	Please create an Online Security Request Form for the below role using following link: |https://psaccess.laureate.net/ |Role Name: LI_FG_SECRULE_AUS (Australia and New Zealand FG Security Rule)

Financial Gateway access for NewZeland NZL	Please create an Online Security Request Form for the below role using following link: |https://psaccess.laureate.net/|Role Name: LI_FG_SECRULE_AUS (Australia and New Zealand FG Security Rule)

Role to Dispatch the PO for AUS	Please create an Online Security Request Form for the below role using following link: |https://psaccess.laureate.net/|Role Name: LI_PO_SUPPOBJCUSTOM_AUS

Does credit voucher goes for approval	No. Credit voucher is Auto-Approved and does not go for approval.

How to make Expense location default for all the lines	Navigation: Main Menu > Employee Self Service > Travel and Expenses > Review/Edit Profile.Here, you can select Expense Location and it will be default for all the lines

What is my expense payment status	Please check with Regional AP Team.

How to create PO without requisition	You can create PO by navigating to Main Menu > Purchasing > Purchase Orders > Add/Update Pos

Not able to open the attachment	Check if PDF reader/Adobe Reader is installed on the system. Also in case of PDF attachments, also check if pop-up blocker is not enabled.

Why only one asset got created for 2 interface ID assets	It is possible that it has been created from the same receipt line. If this does not resolve your query, then please raise a ticket in frontline.

How to make quantity adjustment in asset	Navigation: Main Menu > Asset Management > Asset Transactions > Financial Transaction > Cost Adjust/Transfer Asset |1. Select Transaction and Accounting Date and Action i.e. Adjustment. |2. On the next page, enter the cost/Quantity by which you want to increase/decrease the asset. |3. Click on Apply and Save.

How to change the invoice amount on the voucher line level	You need to modify the Voucher Invoice lines which has been created for creating Credit Note Vouchers. Once the invoice line amount is adjusted the Document tolerance error should change to valid once the Document tolerance batch process runs. Negative credit voucher can be created only if the Receipt and PO has negative entries in the same.

How to change Vendor ID while expediting PO	Navigation: Main Menu > eProcurement > Buyer Center > Expedite Requisition|1. Enter Business Unit, Requisition ID and search.|2. Change Vendor in field Vendor Name.|3. Submit the request.

Voucher not appearing in batch process	Please check if any batch process is running which has already picked those vouchers.

Why requisition was not getting routed to reviewer	Please check if it has Item ID present. If ITEM ID is present, ii will not go to reviewer.

My journal is in error	Please correct the journal error and run edit journal after correcting error tab.

Role required to approve a Vendor	Please create an Online Security Request Form for the below role using following link: | https://psaccess.laureate.net/ | Role Name: LI_AP_VNDRAPRV_GLB (GLB AP Vendor Approve Role). Also, mention in the commenst to select the checkbox. Authority to approve vendors checkbox in User preferences.

Where I can see my Corporate Card Details	Navigation:|Main Menu > Travel and Expenses > Manage Employee Information > Update Profile |1. Enter Business Unit and employee ID|2. Click Corporate Card Information tab and check the card details.

Where does the expense report get routed after submission if employee s manager is terminated in the system	Expense Report gets routed to PSFIELDAMEA after submission if employee's manager is terminated in the system

How to Unapply the prepaid voucher from regular voucher	Navigation:|Main Menu > Accounts Payable > Review Accounts Payable Info > Payments > Payment|Please check Payment Status

Can we create an expense report in the current period if the period is not open	No. You cannot create an expense report in the current period  if the period is not open.

Criteria to delete voucher	Voucher can be deleted only when voucher is :|1. Not posted|2. Not Selected for payment|3. Not any portion of the vouchers ever have been paid.

Criteria to close voucher	Voucher can be closed only when voucher is :|1. Posted|2. No Selected for Payment|3. Not Fully Paid

Frontline Footprint related issue	For any Frontline/Footprint related queries, send the request to frontline.team@laureate.net

How to Create online security form	Please create an Online Security Request Form for the below role using following link: |https://psaccess.laureate.net/

Navigation to run vendor liability aging report	Navigation: |Main Menu > Accounts Payable > Reports > Voucher Reconciliation > Vendor Liability Aging

How to see my worklist items	Click Worklist link on right top of your home screen. You will all the items which are Pending for your approval.

How to dispatch the PO again	Redispatch the PO using following navigation:| Main Menu > Purchasing > Purchase Orders > Dispatch Pos| Select Business Unit and select the Dispatched Check Box . After that select the PO ID in PO ID prompt. After selecting the PO ID click on the Print Copy checkbox and run the process by selecting appropriate job according to your Business Unit. | After this process goes to success you can get the file generated from Report Manager.

How to deauthorize the delegation	Navigation:|Main Menu > My System Profile|1. Remove Alternate User ID|2. Remove From Date and To Date|3. Click Save|For any further clarification, Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Vendor setup	If the request is related to new vendor registration / setup in Peoplesoft system, then kindly send the details to AMEA.servicecenter@laureate.net

How to change requisition BU	Once the requisition has been submitted, BU of the requisition can not be changed.

Why I am getting LOB size error while opening a voucher	It can be in error because the attachment which was added to the voucher exceeds the size. Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

How to change default currency in expense claim	The default currency can be changed at expense line level.

How to change the default currency on Expense Report	Default currency is setup at Profile Level and this data comes from Ultipro. If you want to change the default currency, please ask HR team to change it in Ultipro.

What is Net Due Date	Please note that the Net Due/ Schedule due date is calculated on the basis of the Pay Term you select in the voucher.If the voucher needs to be paid immediately you can select the pay term 000 i.e. Due Now. If you are selecting anything else i.e. for e.g. 030 NET30 then the system calculates the Net due date and schedule data as Invoice date + 30 days. If the due date is falling on any date less than the current date then the schedule due date is set to current date and the net due date is set as per the formula i.e. invoice date + pay-terms.|Please note that the payment of the voucher is dependent on the Schedule due date only. This field is editable all the time before the payment is made and can be increased or decreased according to the requirement.

How to cancel the requisition	Navigation:|Main Menu > eProcurement > Manage Requisition |1 . Enter the Business Unit and Requisition ID and click on Search| 2 . Select Cancel Requisition from the dropdown and click Go.|If a PO or PO RECEIPT or PO RECEIPT VOUCHER is created for the requisition a requisition cannot be cancelled.

